pttID,HighSchool_PR,College_Score,HS_Inacc,CS_Inacc
game275415,60,50,1,
a2654133,60,52,,
cookie20125,99,72,,
heejung,92,54,1,
shun01,87,51,,
robinyu85,-1,74,,
allengoose,69,48,,
godpatrick11,98,60,,
morgankhs,95,65,,
jazzard,88,65,,
ksacball,99,70,,
wzxoo,93,66,,
hsukenhao,95,69,,
zles966218,77,53,,
mathafaka,98,65,,
tang0306,89,64,,
bbcinin,90,59,,
sikeken40815,98,72,,
karenlai80,-1,62,,
sherman0220,82,52,,
Zw111196,74,72,,
Changster,88,63,1,
cp3wade,84,65,,
r124626743,93,66,,
anne80916ann,98,64,,
tigerjet8613,88,61,,
qwe369875421,96,68,,
hacocu831735,84,55,,
TaiNanRay,84,66,,
shinjya,92,58,,
gingerman,75,63,1,
Sampragassi,95,63,,1
YuWen91041,93,56,1,
takiryushi,97,62,,
stephanie502,59,51,1,
DUCK1997,95,72,,1
ayenliou,82,58,,
billy950361,89,65,,
Gigadelic,99,65,,
jason8607,95,64,,
peterrr,95,72,,
rainbow2565,84,63,,
jasonajaw,99,68,,
headheadgood,84,61,,
tvsiecnkgy,93,61,,
sengoddard,94,67,,
ss9517532468,97,69,,
howard324666,99,71,,
s23546798,89,66,,
wulingtony,98,73,,
charliechao,96,67,,
cindykaulitz,94,66,,
frazzz,90,70,,
jamesoo0816,90,68,,
zsgg123,92,52,,
Lumos,89,59,,
chen92105,92,65,,
kokoko35,82,45,,
Bihrava,96,73,,
s92181,91,58,,
a828486penny,95,68,,
the32119,76,56,,
unique5200,78,45,,
TammyDream,71,49,,
jj840917,97,66,,1
sergiorossi,79,61,,1
a7927705,93,56,,
hank41210,81,58,,
lp33506,99,68,,
single860416,91,52,,
zz45698,99,-1,,
kimiiceman01,79,58,,
XiaYa,75,63,1,
vmgj6qup6,78,55,,
irene282007,99,73,,
tree1314,98,68,,
albino1347,92,65,,
ejavona,98,70,,
greg0740,81,61,,
victor0607,99,74,,
wlsh5701,98,70,,
josecheng,99,71,,1
CountingStar,97,67,,
SuBowXD,94,65,,
LaLa0526,-1,71,,
jmos123,97,53,,
hugewilly,92,60,,
holishing,-1,69,,
angel37569,79,53,,
xoxozoey,91,60,,
karco,92,68,,
jingwen1997,98,67,,
Ming1011,91,58,,
zander363,93,70,,
tf34,99,73,,
Mongyh,94,-1,,
Paramecium,76,70,,
mochante,87,64,,
pork6631,97,71,,
qxxrbull,80,48,1,
karta1565315,99,71,,
evahyun,91,53,,
qwasty320,93,63,,
yihsinliu,94,52,,
AAAC,99,67,,
tryfi,87,60,,
johnson1997,98,55,,
wu19961224,89,40,,
henrylol,99,73,,
smiletrain,94,66,,
bumloveme,90,60,,
angus9088,97,74,,
shxcer,79,50,,
alu0228,93,69,1,
gloriousCJH,94,60,,
inspectorlee,88,72,,
stp92010,90,62,,
pote85712,94,49,,
johnnychiu,85,70,,
iamsowei,99,75,,
magichanics,99,57,,
samuel30214,87,66,,
love8242746,82,60,,
XperiaX,86,34,,
margaret0516,97,73,,
greenruler,83,71,,
hongcha7,78,52,,
Lambo1228,86,64,,
s910254kelly,87,65,,
axen1208,94,63,,
nemesis0919,85,59,,
simon860730,-1,67,,
cin321,99,72,,
sexydada,99,70,,
yoyo90g90g,88,66,,
Adlerhsu,92,41,,
lolan015,85,58,,
allen3680,99,72,,
jeff830901,87,60,,
bpp0742,93,67,,
kerkerhaha,98,74,,
annielinowob,89,63,,
erin0601,96,67,,
silence6927,70,42,,
echecfai0418,85,60,,
yamyrose,98,65,,
fisunsh,80,49,,
kindaidiot03,91,58,1,1
beforelin,90,49,,
morgandust,97,59,,
Ggthebest,97,69,,
steven95421,99,73,,
Holymaker,97,72,,
uTorrent,99,71,,
shaxishagym,97,71,,
s73990,99,71,,
wonderwall56,99,73,,
TakahitoOh,98,68,,
boonboon2237,90,54,,
appollo860218,97,52,,
duygy952671,92,63,,
jeff20085501,94,70,,
holic0824,83,59,,
kevin0209,86,54,,
thekfc24,99,66,,
emily8911h,94,69,,
abbasxu,81,67,,
Aligator,97,66,,
japan1995,63,49,,
yummy8765,99,72,,
lanlanlu6665,83,54,,
jane060921,72,60,,
abc456wp,80,42,,
gary81611,89,63,,
Tuvalu,99,67,,
bluetory99,88,62,,
a298529,97,72,,
shark2013,97,70,,
smokenmirror,93,56,,
RosenS,98,54,,
oxlittle,97,71,,
elucidator,87,52,,
kids9995,-1,73,,
wyred,51,48,,
richard26057,96,62,,
hatehess,89,72,,
andy12w12w,93,55,,
greg0740,81,61,,
zz860619,97,68,,
pep9575351,83,58,,
zxnstu983104,84,69,,
ptt0211,94,66,,
technicolor,98,61,,
yang860406,74,58,,
tommy71213,99,-1,,
GJ94JEN,70,75,,
zxnstu3104,70,74,,
